4994,J P COLLEGE OF ENGINEERING
3807,J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY
2647,J.K.K. NATTRAJA COLLEGE OF ENGINEERING AND TECHNOLOGY
5537,JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY
2350,JAIRUPAA COLLEGE OF ENGINEERING
4987,JAMES COLLEGE OF ENGINEERING AND TECHNOLOGY
2762,JANSONS INSTITUTE OF TECHNOLOGY
1447,JAWAHAR ENGINEERING COLLEGE
2651,JAY SHRIRAM GROUP OF INSTITUTIONS
1221,JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY
1106,JAYA ENGINEERING COLLEGE
1107,JAYA INSTITUTE OF TECHNOLOGY
1416,JAYA SAKTHI ENGINEERING COLLEGE
2640,JAYALAKSHMI INSTITUTE OF TECHNOLOGY
2606,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
4956,JAYAMATHA ENGINEERING COLLEGE
4957,JAYARAJ ANNAPACKIAM CSI COLLEGE OF ENGINEERING
3808,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY
1306,JEPPIAAR ENGINEERING COLLEGE
1140,JEPPIAAR INSTITUTE OF TECHNOLOGY
1206,JEPPIAAR MAAMALLAN ENGINEERING COLLEGE
1320,JEPPIAAR SRR ENGINEERING COLLEGE
1307,JERUSALEM COLLEGE OF ENGINEERING
1126,JNN INSTITUTE OF ENGINEERING
4985,K N S K COLLEGE OF ENGINEERING
2764,K P R INSTITUTE OF ENGINEERING AND TECHNOLOGY
2328,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY
3830,K. RAMAKRISHNAN COLLEGE OF ENGINEERING
1311,K.C.G. COLLEGE OF TECHNOLOGY
3781,K.K.C COLLEGE OF ENGINEERING AND TECHNOLOGY
5904,K.L.N.COLLEGE OF ENGINEERING
5903,K.L.N.COLLEGE OF INFORMATION TECHNOLOGY
3701,K.RAMAKRISHNAN COLLEGE OF TECHNOLOGY
3456,K.S.K COLLEGE OF ENGINEERING AND TECHNOLOGY
2613,K.S.R. COLLEGE OF ENGINEERING (AUTONOMOUS)
2607,K.S.RANGASAMY COLLEGE OF TECHNOLOGY (AUTONOMOUS)
4991,KALASALINGAM INSTITUTE OF TECHNOLOGY
4959,KAMARAJ COLLEGE OF ENGINEERING AND TECHNOLOGY
1208,KANCHI PALLAVAN ENGINEERING COLLEGE
1409,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY
2710,KARPAGAM COLLEGE OF ENGINEERING (AUTONOMOUS)
2735,KARPAGAM INSTITUTE OF TECHNOLOGY
2649,KARUR COLLEGE OF ENGINEERING
2745,KATHIR COLLEGE OF ENGINEERING
2751,KGISL INSTITUTE OF TECHNOLOGY
2631,KING COLLEGE OF TECHNOLOGY
3905,KINGS COLLEGE OF ENGINEERING
1207,KINGS ENGINEERING COLLEGE
1520,KINGSTON ENGINEERING COLLEGE
5533,KIT & KIM TECHNICAL CAMPUS
2750,KIT - KALAIGNAR KARUNANIDHI INSTITUTE OF TECHNOLOGY
2653,KNOWLEDGE INSTITUTE OF TECHNOLOGY
2711,KONGU ENGINEERING COLLEGE
3826,KONGUNADU COLLEGE OF ENGINEERING AND TECHNOLOGY
3410,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY
1528,KRS COLLEGE OF ENGINEERING
2712,KUMARAGURU COLLEGE OF TECHNOLOGY  (AUTONOMOUS)
1143,KUMARAN INSTITUTE OF TECHNOLOGY
3809,KURINJI COLLEGE OF ENGINEERING AND TECHNOLOGY
5990,LATHA MATHAVAN ENGINEERING COLLEGE
1443,LORD AYYAPPA INSTITUTE OF ENGINEERING AND TECHNOLOGY
4983,LORD JEGANNATH COLLEGE OF ENGINEERING AND TECHNOLOGY
1205,LORD VENKATESHWARAA ENGINEERING COLLEGE
4677,LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY
1450,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY
1225,LOYOLA INSTITUTE OF TECHNOLOGY
4993,LOYOLA INSTITUTE OF TECHNOLOGY AND SCIENCE
3843,M R K INSTITUTE OF TECHNOLOGY
3810,M.A.M COLLEGE OF ENGINEERING
3829,M.A.M COLLEGE OF ENGINEERING AND TECHNOLOGY
3786,M.A.M. SCHOOL OF ENGINEERING
3925,M.A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY
4929,M.E.T ENGINEERING COLLEGE
3811,M.I.E.T ENGINEERING COLLEGE
2608,M.KUMARASAMY COLLEGE OF ENGINEERING
2713,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE
1411,MADHA ENGINEERING COLLEGE
1243,MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY
5842,MADURAI INSTITUTE OF ENGINEERING AND TECHNOLOGY
1430,MAHA BARATHI ENGINEERING COLLEGE
4998,MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY
3403,MAHALAKSHMI ENGINEERING COLLEGE
2714,MAHARAJA ENGINEERING COLLEGE
2730,MAHARAJA INSTITUTE OF TECHNOLOGY
3854,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY
2623,MAHENDRA COLLEGE OF ENGINEERING
2609,MAHENDRA ENGINEERING COLLEGE (AUTONOMOUS)
2638,MAHENDRA ENGINEERING COLLEGE FOR WOMEN
2665,MAHENDRA INSTITUTE OF ENGINEERING AND TECHNOLOGY
2632,MAHENDRA INSTITUTE OF TECHNOLOGY
1412,MAILAM ENGINEERING COLLEGE
5536,MANGAYARKARASI COLLEGE OF ENGINEERING
4928,MAR EPHRAEM COLLEGE OF ENGINEERING AND TECHNOLOGY
4927,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY
4984,MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY
1509,MEENAKSHI COLLEGE OF ENGINEERING
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE
1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE
4960,MEPCO SCHLENK ENGINEERING COLLEGE (AUTONOMOUS)
1310,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE
3923,MNSK COLLEGE OF ENGINEERING
1301,MOHAMED SATHAK A.J.COLLEGE OF ENGINEERING
5907,MOHAMED SATHAK ENGINEERING COLLEGE
3812,MOOKAMBIGAI COLLEGE OF ENGINEERING
3846,MOTHER TERASA COLLEGE OF ENGINEERING AND TECHNOLOGY
3908,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY
2314,MUTHAYAMMAL COLLEGE OF ENGINEERING
2610,MUTHAYAMMAL ENGINEERING COLLEGE (AUTONOMOUS)
5832,N P R COLLEGE OF ENGINEERING AND TECHNOLOGY
2327,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY
5865,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY
2752,NANDHA COLLEGE OF TECHNOLOGY
2715,NANDHA ENGINEERING COLLEGE (AUTONOMOUS)
2639,NARASU'S SARATHY INSTITUTE OF TECHNOLOGY
4977,NARAYANAGURU COLLEGE OF ENGINEERING
4685,NARAYANAGURU SIDDHARTHA COLLEGE OF ENGINEERING
4961,NATIONAL COLLEGE OF ENGINEERING
4962,NATIONAL ENGINEERING COLLEGE
2729,NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY
2755,NEHRU INSTITUTE OF TECHNOLOGY
3466,NELLIANDAVAR INSTITUTE OF TECHNOLOGY
1431,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY
3782,"OAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, GROUP OF INSTITUTIONS"
5909,ODAIYAPPA COLLEGE OF ENGINEERING AND TECHNOLOGY
1529,OXFORD COLLEGE OF ENGINEERING
3813,OXFORD ENGINEERING COLLEGE
2741,P A COLLEGE OF ENGINEERING AND TECHNOLOGY
2612,P G P COLLEGE OF ENGINEERING AND TECHNOLOGY
1222,P.B. COLLEGE OF ENGINEERING
3814,P.R.ENGINEERING COLLEGE
